id,GSearch,GSearchNews
300,"Cerca de 635,000 resultados (0.53 segundos) ","Cerca de 28,200 resultados (0.29 segundos) "
301,"Cerca de 27,400 resultados (0.49 segundos) ",3 resultados (0.23 segundos) 
302,"Cerca de 788,000 resultados (0.72 segundos) ","Cerca de 24,700 resultados (0.26 segundos) "
303,"Cerca de 53,000 resultados (0.54 segundos) ",1 resultado (0.18 segundos) 
304,"Cerca de 520,000 resultados (0.46 segundos) ","Cerca de 12,800 resultados (0.24 segundos) "
305,"Cerca de 17,700 resultados (0.49 segundos) ",No results
306,"Cerca de 2,320 resultados (0.59 segundos) ",No results
307,"Cerca de 37,100 resultados (0.45 segundos) ",Cerca de 256 resultados (0.19 segundos) 
308,"Cerca de 77,000 resultados (0.64 segundos) ",Cerca de 498 resultados (0.27 segundos) 
309,"Cerca de 21,100 resultados (0.42 segundos) ",7 resultados (0.23 segundos) 
310,"Cerca de 630,000 resultados (0.76 segundos) ","Cerca de 17,200 resultados (0.42 segundos) "
311,"Cerca de 99,800 resultados (0.70 segundos) ","Cerca de 2,420 resultados (0.36 segundos) "
312,"Cerca de 60,700 resultados (0.45 segundos) ",Cerca de 375 resultados (0.23 segundos) 
313,"Cerca de 59,000 resultados (0.42 segundos) ",3 resultados (0.22 segundos) 
314,"Cerca de 31,600 resultados (0.58 segundos) ",8 resultados (0.24 segundos) 
315,Cerca de 9 resultados (0.44 segundos) ,"Cerca de 58,000 resultados (0.59 segundos) "
316,Cerca de 2 resultados (0.34 segundos) ,"Cerca de 16,200 resultados (0.50 segundos) "
317,"Cerca de 6,830,000 resultados (0.65 segundos) ","Cerca de 682,000 resultados (0.35 segundos) "
318,"Cerca de 83,800 resultados (0.57 segundos) ",Cerca de 767 resultados (0.25 segundos) 
319,"Cerca de 3,600,000 resultados (0.64 segundos) ","Cerca de 105,000 resultados (0.30 segundos) "
320,"Cerca de 30,600 resultados (0.44 segundos) ",10 resultados (0.26 segundos) 
321,"Cerca de 56,300 resultados (0.59 segundos) ",8 resultados (0.23 segundos) 
322,"Cerca de 639,000 resultados (0.56 segundos) ","Cerca de 25,200 resultados (0.27 segundos) "
323,"Cerca de 37,600 resultados (0.63 segundos) ",8 resultados (0.25 segundos) 
324,"Cerca de 186,000 resultados (0.56 segundos) ","Cerca de 8,750 resultados (0.32 segundos) "
325,"Cerca de 270,000 resultados (0.58 segundos) ",Cerca de 436 resultados (0.33 segundos) 
326,"Cerca de 92,100 resultados (0.39 segundos) ","Cerca de 2,110 resultados (0.26 segundos) "
327,"Cerca de 87,200 resultados (0.48 segundos) ","Cerca de 1,340 resultados (0.25 segundos) "
328,"Cerca de 32,300 resultados (0.51 segundos) ",Cerca de 216 resultados (0.29 segundos) 
329,"Cerca de 1,450,000 resultados (0.51 segundos) ","Cerca de 16,400 resultados (0.25 segundos) "
330,"Cerca de 40,800 resultados (0.64 segundos) ",Cerca de 765 resultados (0.32 segundos) 
331,"Cerca de 30,500 resultados (0.47 segundos) ",Cerca de 297 resultados (0.24 segundos) 
332,"Cerca de 619,000 resultados (0.57 segundos) ","Cerca de 25,100 resultados (0.27 segundos) "
333,"Cerca de 494,000 resultados (0.70 segundos) ","Cerca de 9,500 resultados (0.33 segundos) "
334,"Cerca de 1,630,000 resultados (0.69 segundos) ","Cerca de 36,200 resultados (0.31 segundos) "
335,"Cerca de 803,000 resultados (0.64 segundos) ","Cerca de 13,300 resultados (0.33 segundos) "
336,"Cerca de 29,600 resultados (0.43 segundos) ","Cerca de 1,480 resultados (0.22 segundos) "
337,Cerca de 6 resultados (0.34 segundos) ,2 resultados (0.22 segundos) 
338,"Cerca de 18,800 resultados (0.46 segundos) ",3 resultados (0.26 segundos) 
339,"Cerca de 146,000 resultados (0.49 segundos) ",Cerca de 574 resultados (0.21 segundos) 
340,"Cerca de 59,000 resultados (1.07 segundos) ",1 resultado (0.27 segundos) 
341,"Cerca de 70,000 resultados (0.57 segundos) ","Cerca de 2,120 resultados (0.27 segundos) "
342,"Cerca de 64,500 resultados (0.44 segundos) ","Cerca de 2,410 resultados (0.24 segundos) "
343,"Cerca de 227,000 resultados (0.48 segundos) ","Cerca de 5,620 resultados (0.22 segundos) "
344,"Cerca de 3,290 resultados (0.42 segundos) ",No results
345,"Cerca de 82,600 resultados (0.47 segundos) ","Cerca de 6,380 resultados (0.29 segundos) "
346,"Cerca de 129,000 resultados (0.43 segundos) ",Cerca de 745 resultados (0.23 segundos) 
347,"Cerca de 14,700 resultados (0.47 segundos) ",Cerca de 279 resultados (0.26 segundos) 
348,"Cerca de 65,600 resultados (0.55 segundos) ",7 resultados (0.22 segundos) 
349,"Cerca de 29,500 resultados (0.50 segundos) ",9 resultados (0.23 segundos) 
350,"Cerca de 14,200 resultados (0.44 segundos) ",7 resultados (0.17 segundos) 
351,"Cerca de 138,000 resultados (0.89 segundos) ",Cerca de 507 resultados (0.23 segundos) 
352,"Cerca de 169,000 resultados (0.49 segundos) ",Cerca de 409 resultados (0.21 segundos) 
353,Cerca de 9 resultados (0.48 segundos) ,2 resultados (0.18 segundos) 
354,"Cerca de 172,000 resultados (0.53 segundos) ","Cerca de 1,060 resultados (0.21 segundos) "
355,"Cerca de 1,760,000 resultados (0.58 segundos) ","Cerca de 192,000 resultados (0.34 segundos) "
356,Cerca de 8 resultados (0.86 segundos) ,No results
357,"Cerca de 95,600 resultados (0.46 segundos) ",Cerca de 319 resultados (0.20 segundos) 
358,"Cerca de 24,400 resultados (0.49 segundos) ",Cerca de 116 resultados (0.20 segundos) 
359,"Cerca de 50,400 resultados (0.57 segundos) ",Cerca de 210 resultados (0.25 segundos) 
360,"Cerca de 131,000 resultados (0.43 segundos) ","Cerca de 3,570 resultados (0.24 segundos) "
361,Cerca de 83 resultados (0.46 segundos) ,4 resultados (0.22 segundos) 
362,"Cerca de 3,820,000 resultados (0.52 segundos) ","Cerca de 107,000 resultados (0.31 segundos) "
363,2 resultados (0.34 segundos) ,1 resultado (0.38 segundos) 
364,"Cerca de 678,000 resultados (0.57 segundos) ","Cerca de 2,250 resultados (0.30 segundos) "
365,"Cerca de 74,000 resultados (0.55 segundos) ",2 resultados (0.22 segundos) 
366,"Cerca de 4,340,000 resultados (0.68 segundos) ","Cerca de 29,100 resultados (0.32 segundos) "
367,"Cerca de 254,000 resultados (0.65 segundos) ","Cerca de 11,400 resultados (0.35 segundos) "
368,"Cerca de 452,000 resultados (0.51 segundos) ",Cerca de 355 resultados (0.20 segundos) 
369,"Cerca de 28,400 resultados (0.53 segundos) ",3 resultados (0.22 segundos) 
370,"Cerca de 240,000 resultados (0.64 segundos) ","Cerca de 8,530 resultados (0.27 segundos) "
371,"Cerca de 61,700 resultados (0.41 segundos) ","Cerca de 2,260 resultados (0.26 segundos) "
372,"Cerca de 26,600 resultados (0.56 segundos) ",Cerca de 129 resultados (0.22 segundos) 
373,"Cerca de 130,000 resultados (0.48 segundos) ","Cerca de 3,130 resultados (0.22 segundos) "
374,Cerca de 294 resultados (0.46 segundos) ,2 resultados (0.19 segundos) 
375,"Cerca de 804,000 resultados (0.58 segundos) ","Cerca de 20,300 resultados (0.24 segundos) "
376,Cerca de 2 resultados (0.48 segundos) ,2 resultados (0.45 segundos) 
377,"Cerca de 502,000 resultados (0.46 segundos) ","Cerca de 50,400 resultados (0.27 segundos) "
378,"Cerca de 584,000 resultados (0.47 segundos) ","Cerca de 3,580 resultados (0.23 segundos) "
379,"Cerca de 18,800 resultados (0.56 segundos) ",5 resultados (0.25 segundos) 
380,"Cerca de 6,040 resultados (0.45 segundos) ",4 resultados (0.21 segundos) 
381,"Cerca de 3,330 resultados (0.92 segundos) ",3 resultados (0.43 segundos) 
382,"Cerca de 339,000 resultados (0.54 segundos)",Cerca de 692 resultados (0.22 segundos) 
383,"Cerca de 26,900 resultados (0.53 segundos) ",Cerca de 85 resultados (0.22 segundos) 
384,"Cerca de 425,000 resultados (0.42 segundos) ","Cerca de 7,230 resultados (0.21 segundos) "
385,"Cerca de 92,300 resultados (0.55 segundos) ","Cerca de 1,360 resultados (0.20 segundos) "
386,"Cerca de 53,400 resultados (0.51 segundos) ",Cerca de 442 resultados (0.26 segundos) 
387,"Cerca de 180,000 resultados (0.57 segundos) ","Cerca de 2,440 resultados (0.22 segundos) "
388,"Cerca de 766,000 resultados (0.49 segundos) ","Cerca de 13,800 resultados (0.22 segundos) "
389,"Cerca de 2,760 resultados (0.52 segundos) ",9 resultados (0.26 segundos) 
390,"Cerca de 262,000 resultados (0.52 segundos) ","Cerca de 6,230 resultados (0.24 segundos) "
391,Cerca de 2 resultados (0.41 segundos) ,No results
392,"Cerca de 66,300 resultados (0.53 segundos) ",Cerca de 708 resultados (0.26 segundos) 
393,"Cerca de 8,990 resultados (0.44 segundos) ",10 resultados (0.24 segundos) 
394,"Cerca de 373,000 resultados (0.52 segundos) ","Cerca de 6,830 resultados (0.24 segundos) "
395,"Cerca de 586,000 resultados (0.55 segundos) ",Cerca de 811 resultados (0.24 segundos) 
396,"Cerca de 3,990,000 resultados (0.53 segundos) ","Cerca de 5,840 resultados (0.28 segundos) "
397,"Cerca de 2,210 resultados (0.74 segundos) ",No results
398,"Cerca de 30,000 resultados (0.46 segundos) ",3 resultados (0.22 segundos) 
399,Cerca de 3 resultados (0.40 segundos) ,No results
400,"Cerca de 8,770 resultados (0.49 segundos) ",4 resultados (0.20 segundos) 
401,"Cerca de 229,000 resultados (0.53 segundos) ","Cerca de 14,300 resultados (0.28 segundos) "
402,"Cerca de 1,550,000 resultados (0.68 segundos) ","Cerca de 83,300 resultados (0.31 segundos) "
403,"Cerca de 31,700 resultados (0.45 segundos) ","Cerca de 1,760 resultados (0.28 segundos) "
404,"Cerca de 31,700 resultados (0.61 segundos) ",Cerca de 131 resultados (0.23 segundos) 
405,Cerca de 2 resultados (0.41 segundos) ,9 resultados (0.40 segundos) 
406,"Cerca de 678,000 resultados (0.59 segundos) ","Cerca de 16,400 resultados (0.26 segundos) "
407,"Cerca de 187,000 resultados (0.46 segundos) ",Cerca de 47 resultados (0.26 segundos) 
408,"Cerca de 200,000 resultados (0.59 segundos) ","Cerca de 19,800 resultados (0.26 segundos) "
409,"Cerca de 225,000 resultados (0.50 segundos) ",Cerca de 956 resultados (0.23 segundos) 
410,Cerca de 265 resultados (0.47 segundos) ,1 resultado (0.26 segundos) 
411,"Cerca de 71,100 resultados (0.43 segundos) ",Cerca de 913 resultados (0.22 segundos) 
412,Cerca de 143 resultados (0.61 segundos) ,No results
413,Cerca de 2 resultados (0.50 segundos) ,"Cerca de 1,080 resultados (0.47 segundos) "
414,8 resultados (0.55 segundos) ,No results
415,"Cerca de 535,000 resultados (0.53 segundos) ","Cerca de 26,300 resultados (0.30 segundos) "
416,Cerca de 2 resultados (0.34 segundos) ,"Cerca de 1,290 resultados (0.46 segundos) "
417,"Cerca de 106,000 resultados (0.50 segundos) ",Cerca de 666 resultados (0.24 segundos) 
418,"Cerca de 316,000 resultados (0.59 segundos) ","Cerca de 5,940 resultados (0.31 segundos) "
419,"Cerca de 26,900 resultados (0.55 segundos) ",1 resultado (0.24 segundos) 
420,Cerca de 8 resultados (0.56 segundos) ,"Cerca de 1,180 resultados (0.28 segundos) "
421,"Cerca de 4,440,000 resultados (0.52 segundos) ","Cerca de 88,400 resultados (0.36 segundos) "
422,"Cerca de 66,900 resultados (0.51 segundos) ",Cerca de 839 resultados (0.23 segundos) 
423,"Cerca de 55,900 resultados (0.62 segundos) ",Cerca de 277 resultados (0.33 segundos) 
424,"Cerca de 6,720,000 resultados (0.48 segundos) ","Cerca de 105,000 resultados (0.26 segundos) "
425,"Cerca de 183,000 resultados (0.56 segundos) ","Cerca de 5,180 resultados (0.25 segundos) "
426,Cerca de 90 resultados (0.42 segundos) ,Cerca de 936 resultados (0.36 segundos) 
427,"Cerca de 173,000 resultados (0.48 segundos) ","Cerca de 2,640 resultados (0.28 segundos) "
428,"Cerca de 60,400 resultados (0.64 segundos) ",Cerca de 119 resultados (0.28 segundos) 
429,"Cerca de 69,800 resultados (0.54 segundos) ","Cerca de 1,890 resultados (0.26 segundos) "
430,"Cerca de 176,000 resultados (0.56 segundos) ",Cerca de 386 resultados (0.22 segundos) 
431,"Cerca de 101,000 resultados (0.57 segundos) ",Cerca de 592 resultados (0.26 segundos) 
432,"Cerca de 13,400 resultados (0.52 segundos) ",2 resultados (0.23 segundos) 
433,"Cerca de 724,000 resultados (0.56 segundos) ","Cerca de 1,080 resultados (0.20 segundos) "
434,"Cerca de 30,200 resultados (0.42 segundos) ",Cerca de 122 resultados (0.20 segundos) 
435,"Cerca de 177,000 resultados (0.61 segundos) ",Cerca de 767 resultados (0.29 segundos) 
436,Cerca de 131 resultados (0.36 segundos) ,3 resultados (0.24 segundos) 
437,"Cerca de 1,040,000 resultados (0.58 segundos) ","Cerca de 18,400 resultados (0.29 segundos) "
438,Cerca de 517 resultados (0.43 segundos) ,6 resultados (0.19 segundos) 
439,"Cerca de 47,700 resultados (0.56 segundos) ","Cerca de 1,070 resultados (0.25 segundos) "
440,"Cerca de 298,000 resultados (0.55 segundos) ","Cerca de 1,010 resultados (0.29 segundos) "
441,"Cerca de 38,700 resultados (0.69 segundos) ",3 resultados (0.22 segundos) 
442,"Cerca de 27,400 resultados (0.49 segundos) ",4 resultados (0.20 segundos) 
443,"Cerca de 44,700 resultados (0.53 segundos) ",3 resultados (0.19 segundos) 
444,"Cerca de 240,000 resultados (0.48 segundos)","Cerca de 22,400 resultados (0.27 segundos) "
445,"Cerca de 32,800 resultados (0.43 segundos) ","Cerca de 1,850 resultados (0.25 segundos) "
446,"Cerca de 8,800 resultados (0.56 segundos) ",No results
447,"Cerca de 282,000 resultados (0.51 segundos) ","Cerca de 3,550 resultados (0.29 segundos) "
448,Cerca de 4 resultados (0.37 segundos) ,No results
449,"Cerca de 33,800 resultados (0.72 segundos) ",Cerca de 35 resultados (0.21 segundos) 
450,"Cerca de 294,000 resultados (0.54 segundos) ","Cerca de 1,890 resultados (0.29 segundos) "
451,"Cerca de 160,000 resultados (0.73 segundos)","Cerca de 4,400 resultados (0.41 segundos) "
452,"Cerca de 4,510 resultados (0.61 segundos)",2 resultados (0.20 segundos) 
453,"Cerca de 11,800 resultados (0.44 segundos) ",5 resultados (0.23 segundos) 
454,"Cerca de 56,500 resultados (0.50 segundos) ",Cerca de 245 resultados (0.22 segundos) 
455,"Cerca de 19,700 resultados (0.39 segundos) ",No results
456,"Cerca de 850,000 resultados (0.49 segundos) ","Cerca de 7,970 resultados (0.24 segundos) "
457,"Cerca de 22,800 resultados (0.44 segundos) ",3 resultados (0.21 segundos) 
458,"Cerca de 14,200 resultados (0.49 segundos) ",No results
459,"Cerca de 345,000 resultados (0.81 segundos) ",Cerca de 960 resultados (0.36 segundos) 
460,"Cerca de 19,800 resultados (0.51 segundos) ",2 resultados (0.23 segundos) 
461,"Cerca de 33,100 resultados (0.64 segundos) ",4 resultados (0.24 segundos) 
462,"Cerca de 826,000 resultados (0.61 segundos) ","Cerca de 26,800 resultados (0.29 segundos) "
463,"Cerca de 12,500,000 resultados (0.45 segundos) ","Cerca de 195,000 resultados (0.27 segundos) "
464,"Cerca de 1,230,000 resultados (0.71 segundos) ","Cerca de 109,000 resultados (0.29 segundos) "
465,"Cerca de 29,300 resultados (0.55 segundos) ",1 resultado (0.25 segundos) 
466,"Cerca de 26,600 resultados (0.46 segundos) ",No results
467,"Cerca de 2,400,000 resultados (0.50 segundos) ","Cerca de 136,000 resultados (0.25 segundos) "
468,"Cerca de 4,620 resultados (0.64 segundos) ",1 resultado (0.22 segundos) 
469,"Cerca de 43,000 resultados (0.46 segundos) ",No results
470,"Cerca de 22,300 resultados (0.44 segundos) ",8 resultados (0.17 segundos) 
471,"Cerca de 2,360 resultados (0.55 segundos) ",Cerca de 361 resultados (0.44 segundos) 
472,"Cerca de 1,050,000 resultados (0.46 segundos) ","Cerca de 20,900 resultados (0.24 segundos) "
473,Cerca de 234 resultados (0.55 segundos) ,1 resultado (0.39 segundos) 
474,"Cerca de 248,000 resultados (0.44 segundos) ","Cerca de 10,200 resultados (0.25 segundos) "
475,"Cerca de 6,660 resultados (0.47 segundos) ",No results
476,"Cerca de 123,000 resultados (0.57 segundos) ","Cerca de 2,610 resultados (0.39 segundos) "
477,"Cerca de 461,000 resultados (0.62 segundos) ","Cerca de 1,300 resultados (0.23 segundos) "
478,"Cerca de 6,280 resultados (0.59 segundos) ",6 resultados (0.23 segundos) 
479,"Cerca de 1,920 resultados (0.48 segundos) ",3 resultados (0.20 segundos) 
480,"Cerca de 872,000 resultados (0.49 segundos) ","Cerca de 27,400 resultados (0.27 segundos) "
481,Cerca de 3 resultados (0.36 segundos) ,"Cerca de 1,230 resultados (0.59 segundos) "
482,"Cerca de 313,000 resultados (0.57 segundos) ","Cerca de 3,490 resultados (0.24 segundos) "
483,"Cerca de 3,640 resultados (0.44 segundos) ",Cerca de 97 resultados (0.20 segundos) 
484,"Cerca de 584,000 resultados (0.66 segundos) ","Cerca de 1,890 resultados (0.27 segundos) "
485,"Cerca de 1,200,000 resultados (0.46 segundos) ","Cerca de 27,400 resultados (0.35 segundos) "
486,"Cerca de 222,000 resultados (0.60 segundos) ",Cerca de 79 resultados (0.34 segundos) 
487,"Cerca de 94,300 resultados (0.56 segundos) ",Cerca de 116 resultados (0.32 segundos) 
488,"Cerca de 62,900 resultados (0.60 segundos) ",Cerca de 921 resultados (0.28 segundos) 
489,"Cerca de 20,900 resultados (0.44 segundos) ",6 resultados (0.19 segundos) 
490,"Cerca de 901,000 resultados (0.61 segundos) ","Cerca de 24,700 resultados (0.27 segundos) "
491,"Cerca de 29,400 resultados (0.46 segundos) ",10 resultados (0.19 segundos) 
492,"Cerca de 417,000 resultados (0.53 segundos) ","Cerca de 12,600 resultados (0.23 segundos) "
493,"Cerca de 4,630 resultados (0.44 segundos) ",1 resultado (0.30 segundos) 
494,"Cerca de 203,000 resultados (0.50 segundos) ","Cerca de 26,200 resultados (0.26 segundos) "
495,"Cerca de 13,100 resultados (0.39 segundos) ",8 resultados (0.19 segundos) 
496,"Cerca de 53,600 resultados (0.44 segundos) ","Cerca de 3,030 resultados (0.24 segundos) "
497,"Cerca de 928,000 resultados (0.75 segundos) ","Cerca de 32,700 resultados (0.30 segundos) "
498,"Cerca de 35,400 resultados (0.36 segundos) ","Cerca de 1,270 resultados (0.25 segundos) "
499,"Cerca de 97,500 resultados (0.46 segundos) ",Cerca de 225 resultados (0.21 segundos) 
500,"Cerca de 157,000 resultados (0.69 segundos) ","Cerca de 1,140 resultados (0.34 segundos) "
501,"Cerca de 3,360 resultados (0.51 segundos) ",4 resultados (0.24 segundos) 
502,"Cerca de 115,000 resultados (0.57 segundos) ",Cerca de 425 resultados (0.25 segundos) 
503,"Cerca de 753,000 resultados (0.59 segundos) ","Cerca de 11,200 resultados (0.33 segundos) "
504,"Cerca de 393,000 resultados (0.50 segundos)","Cerca de 5,890 resultados (0.23 segundos) "
505,"Cerca de 260,000 resultados (0.64 segundos) ","Cerca de 2,450 resultados (0.30 segundos) "
506,Cerca de 8 resultados (0.55 segundos) ,No results
507,4 resultados (0.37 segundos) ,1 resultado (0.31 segundos) 
508,"Cerca de 582,000 resultados (0.57 segundos) ",Cerca de 281 resultados (0.25 segundos) 
509,"Cerca de 217,000 resultados (0.49 segundos) ","Cerca de 5,150 resultados (0.22 segundos) "
510,Cerca de 9 resultados (0.49 segundos) ,1 resultado (0.27 segundos) 
511,"Cerca de 1,680,000 resultados (0.41 segundos) ","Cerca de 136,000 resultados (0.25 segundos) "
512,"Cerca de 376,000 resultados (1.02 segundos) ","Cerca de 1,110 resultados (0.29 segundos) "
513,"Cerca de 37,600 resultados (0.46 segundos) ",Cerca de 441 resultados (0.21 segundos) 
514,"Cerca de 304,000 resultados (0.46 segundos) ","Cerca de 14,300 resultados (0.25 segundos) "
515,"Cerca de 167,000 resultados (0.50 segundos) ","Cerca de 3,990 resultados (0.24 segundos) "
516,"Cerca de 31,100 resultados (0.52 segundos) ",Cerca de 193 resultados (0.27 segundos) 
517,"Cerca de 11,500 resultados (0.52 segundos) ",4 resultados (0.20 segundos) 
518,"Cerca de 2,250,000 resultados (0.54 segundos) ","Cerca de 17,400 resultados (0.25 segundos) "
519,"Cerca de 80,300 resultados (0.59 segundos) ",3 resultados (0.21 segundos) 
520,"Cerca de 5,160 resultados (0.44 segundos) ",Cerca de 560 resultados (0.32 segundos) 
521,8 resultados (0.69 segundos) ,No results
522,"Cerca de 28,000 resultados (0.64 segundos) ",No results
523,"Cerca de 433,000 resultados (0.39 segundos) ","Cerca de 14,100 resultados (0.24 segundos) "
524,Cerca de 9 resultados (0.59 segundos) ,Cerca de 217 resultados (0.34 segundos) 
525,"Cerca de 5,160,000 resultados (0.63 segundos) ","Cerca de 171,000 resultados (0.35 segundos) "
526,Cerca de 3 resultados (0.39 segundos) ,No results
527,"Cerca de 10,100 resultados (0.63 segundos) ",7 resultados (0.24 segundos) 
528,"Cerca de 357,000 resultados (0.43 segundos) ",Cerca de 450 resultados (0.24 segundos) 
529,"Cerca de 84,800 resultados (0.44 segundos) ","Cerca de 10,800 resultados (0.31 segundos) "
530,"Cerca de 636,000 resultados (0.53 segundos) ","Cerca de 18,700 resultados (0.25 segundos) "
531,"Cerca de 1,930,000 resultados (0.66 segundos) ","Cerca de 95,200 resultados (0.28 segundos) "
532,"Cerca de 2,310 resultados (0.44 segundos) ",1 resultado (0.20 segundos) 
533,"Cerca de 93,100 resultados (0.62 segundos) ",Cerca de 918 resultados (0.33 segundos) 
534,"Cerca de 144,000 resultados (0.60 segundos) ",Cerca de 763 resultados (0.24 segundos) 
535,"Cerca de 17,200 resultados (0.42 segundos) ",4 resultados (0.20 segundos) 
536,"Cerca de 90,800 resultados (0.53 segundos) ",Cerca de 151 resultados (0.21 segundos) 
537,"Cerca de 269,000 resultados (0.55 segundos) ",Cerca de 458 resultados (0.19 segundos) 
538,"Cerca de 241,000 resultados (0.56 segundos) ","Cerca de 1,470 resultados (0.20 segundos) "
539,"Cerca de 19,200,000 resultados (0.53 segundos) ","Cerca de 2,330,000 resultados (0.31 segundos) "
540,"Cerca de 401,000 resultados (0.67 segundos) ",Cerca de 833 resultados (0.28 segundos) 
541,"Cerca de 343,000 resultados (0.51 segundos)","Cerca de 9,510 resultados (0.29 segundos) "
542,"Cerca de 188,000 resultados (0.62 segundos) ",Cerca de 252 resultados (0.30 segundos) 
543,"Cerca de 3,050,000 resultados (0.65 segundos) ","Cerca de 110,000 resultados (0.29 segundos) "
544,"Cerca de 28,900 resultados (0.55 segundos) ",Cerca de 371 resultados (0.23 segundos) 
545,"Cerca de 15,200 resultados (0.45 segundos) ",3 resultados (0.22 segundos) 
546,Cerca de 7 resultados (0.35 segundos) ,1 resultado (0.22 segundos) 
547,"Cerca de 76,200 resultados (0.50 segundos) ","Cerca de 1,430 resultados (0.24 segundos) "
548,"Cerca de 6,700 resultados (0.51 segundos) ",7 resultados (0.18 segundos) 
549,"Cerca de 3,470 resultados (0.43 segundos) ",3 resultados (0.22 segundos) 
550,"Cerca de 70,900 resultados (0.61 segundos) ",Cerca de 99 resultados (0.25 segundos) 
551,"Cerca de 3,290 resultados (0.43 segundos) ",Cerca de 42 resultados (0.18 segundos) 
552,Cerca de 240 resultados (0.43 segundos) ,1 resultado (0.22 segundos) 
553,"Cerca de 298,000 resultados (0.53 segundos) ","Cerca de 2,430 resultados (0.45 segundos) "
554,"Cerca de 207,000 resultados (0.40 segundos) ","Cerca de 11,400 resultados (0.21 segundos) "
555,"Cerca de 360,000 resultados (0.51 segundos) ","Cerca de 8,570 resultados (0.29 segundos) "
556,"Cerca de 37,800 resultados (0.45 segundos) ",Cerca de 456 resultados (0.19 segundos) 
557,"Cerca de 188,000 resultados (0.46 segundos) ","Cerca de 8,260 resultados (0.24 segundos) "
558,"Cerca de 606,000 resultados (0.55 segundos) ","Cerca de 29,300 resultados (0.34 segundos) "
559,Cerca de 6 resultados (0.46 segundos) ,"Cerca de 1,170 resultados (0.39 segundos) "
560,"Cerca de 81,300 resultados (0.39 segundos) ",Cerca de 481 resultados (0.18 segundos) 
561,"Cerca de 11,900 resultados (0.52 segundos) ",Cerca de 72 resultados (0.24 segundos) 
562,"Cerca de 65,900 resultados (0.51 segundos) ",Cerca de 446 resultados (0.20 segundos) 
563,"Cerca de 2,710 resultados (0.61 segundos) ",8 resultados (0.39 segundos) 
564,"Cerca de 49,600 resultados (0.47 segundos) ",9 resultados (0.20 segundos) 
565,"Cerca de 4,620,000 resultados (0.50 segundos) ","Cerca de 166,000 resultados (0.25 segundos) "
566,"Cerca de 16,100 resultados (0.41 segundos) ",5 resultados (0.18 segundos) 
567,"Cerca de 9,950 resultados (0.55 segundos) ",6 resultados (0.32 segundos) 
568,"Cerca de 79,500 resultados (0.63 segundos) ","Cerca de 3,620 resultados (0.32 segundos) "
569,"Cerca de 40,400 resultados (0.62 segundos) ",Cerca de 224 resultados (0.29 segundos) 
570,"Cerca de 1,160,000 resultados (0.55 segundos) ","Cerca de 13,800 resultados (0.23 segundos) "
571,"Cerca de 643,000 resultados (0.56 segundos) ","Cerca de 8,330 resultados (0.24 segundos) "
572,"Cerca de 191,000 resultados (0.45 segundos) ","Cerca de 9,000 resultados (0.26 segundos) "
573,"Cerca de 190,000 resultados (0.40 segundos) ","Cerca de 7,530 resultados (0.24 segundos) "
574,Cerca de 9 resultados (0.68 segundos) ,4 resultados (0.31 segundos) 
575,Cerca de 577 resultados (0.51 segundos) ,No results
576,"Cerca de 177,000 resultados (0.42 segundos) ",4 resultados (0.23 segundos) 
577,"Cerca de 1,420 resultados (0.47 segundos) ",1 resultado (0.22 segundos) 
578,"Cerca de 104,000 resultados (0.66 segundos) ",Cerca de 317 resultados (0.38 segundos) 
579,"Cerca de 17,100 resultados (0.46 segundos) ",1 resultado (0.19 segundos) 
580,"Cerca de 143,000 resultados (0.42 segundos) ",Cerca de 265 resultados (0.20 segundos) 
581,"Cerca de 3,150 resultados (0.49 segundos) ",No results
582,Cerca de 3 resultados (0.45 segundos) ,No results
583,8 resultados (0.67 segundos) ,No results
584,"Cerca de 4,550 resultados (0.54 segundos) ",3 resultados (0.22 segundos) 
585,"Cerca de 331,000 resultados (0.55 segundos) ","Cerca de 4,130 resultados (0.24 segundos) "
586,"Cerca de 498,000 resultados (0.51 segundos) ","Cerca de 5,190 resultados (0.28 segundos) "
587,"Cerca de 30,300 resultados (0.45 segundos) ",Cerca de 194 resultados (0.23 segundos) 
588,Cerca de 7 resultados (0.32 segundos) ,3 resultados (0.23 segundos) 
589,"Cerca de 128,000 resultados (0.55 segundos) ",Cerca de 536 resultados (0.26 segundos) 
590,"Cerca de 1,850 resultados (0.58 segundos) ",No results
591,"Cerca de 324,000 resultados (0.39 segundos) ","Cerca de 6,400 resultados (0.26 segundos) "
592,"Cerca de 427,000 resultados (0.52 segundos) ","Cerca de 15,700 resultados (0.33 segundos) "
593,"Cerca de 18,900 resultados (0.50 segundos) ",2 resultados (0.24 segundos) 
594,2 resultados (0.31 segundos) ,1 resultado (0.34 segundos) 
595,"Cerca de 47,900 resultados (0.47 segundos) ",Cerca de 134 resultados (0.20 segundos) 
596,"Cerca de 1,450,000 resultados (0.50 segundos) ","Cerca de 18,900 resultados (0.24 segundos) "
597,"Cerca de 1,080 resultados (0.37 segundos) ",No results
598,"Cerca de 21,200 resultados (0.50 segundos) ",Cerca de 59 resultados (0.22 segundos) 
599,"Cerca de 283,000 resultados (0.43 segundos) ","Cerca de 5,610 resultados (0.20 segundos) "
600,2 resultados (0.39 segundos) ,No results
601,"Cerca de 157,000 resultados (0.42 segundos) ",Cerca de 92 resultados (0.21 segundos) 
